id,price,date,sqft_lot,bedrooms,level
6762700020,7700000.0,2014-10-13,27600,6,high_level
9808700762,7062500.0,2014-06-11,37325,5,high_level
9208900037,6885000.0,2014-09-19,31374,6,high_level
2470100110,5570000.0,2014-08-04,35069,5,high_level
8907500070,5350000.0,2015-04-13,23985,5,high_level
7558700030,5300000.0,2015-04-13,24829,6,high_level
1247600105,5110800.0,2014-10-20,45517,5,high_level
1924059029,4668000.0,2014-06-17,13068,5,high_level
7738500731,4500000.0,2014-08-15,40014,5,high_level
3835500195,4489000.0,2014-06-18,27517,4,high_level
6065300370,4208000.0,2015-05-06,21540,5,high_level
6447300265,4000000.0,2014-10-14,16573,4,high_level
8106100105,3850000.0,2014-11-14,21300,4,high_level
2303900100,3800000.0,2014-09-11,35000,3,high_level
853200010,3800000.0,2014-07-01,42840,5,high_level
7397300170,3710000.0,2014-05-30,28078,4,high_level
4217402115,3650000.0,2015-04-21,19401,6,high_level
4389201095,3650000.0,2015-05-11,8694,5,high_level
2425049063,3640900.0,2014-09-11,22257,4,high_level
3625049042,3635000.0,2014-10-11,19897,5,high_level
4114601570,3600000.0,2014-11-18,12431,3,high_level
9253900271,3567000.0,2015-01-07,10584,5,high_level
2525049148,3418800.0,2014-10-07,20412,5,high_level
9362000040,3400000.0,2014-06-23,17826,3,high_level
1118000320,3400000.0,2015-05-08,11765,4,high_level
3126059023,3395000.0,2015-03-03,47870,4,high_level
9808100150,3345000.0,2015-04-02,15360,5,high_level
3625059152,3300000.0,2014-12-30,41300,3,high_level
1346300150,3300000.0,2014-10-20,11750,8,high_level
3625059043,3300000.0,2014-09-04,13873,5,high_level
6072800246,3300000.0,2014-07-02,21738,5,high_level
7524900003,3278000.0,2014-12-10,10000,2,high_level
251500080,3204000.0,2014-08-26,18851,4,high_level
1068000375,3200000.0,2014-09-23,18200,6,high_level
624069108,3200000.0,2014-08-12,28206,4,high_level
8964800890,3200000.0,2015-01-09,13363,3,high_level
7159200005,3200000.0,2014-05-07,8856,7,high_level
3025059124,3168750.0,2014-08-28,11979,5,high_level
333100295,3120000.0,2014-11-24,56609,3,high_level
2424049029,3100000.0,2014-05-29,15682,6,high_level
4131900066,3100000.0,2014-08-25,13085,3,high_level
3025059093,3100000.0,2014-07-29,23669,5,high_level
3225069065,3075000.0,2014-06-24,18641,4,high_level
3760500116,3070000.0,2014-11-20,55867,3,high_level
1732800780,3065000.0,2015-02-12,7500,5,high_level
1118000340,3000000.0,2015-04-08,11265,5,high_level
3761100045,3000000.0,2014-06-18,12445,4,high_level
518500480,3000000.0,2014-08-11,10756,3,high_level
8964800330,3000000.0,2015-04-07,14823,4,high_level
9808100100,3000000.0,2015-02-02,14091,5,high_level
1925059254,2998000.0,2015-05-07,16481,5,high_level
3303850390,2983000.0,2014-12-12,18898,5,high_level
1370800515,2950000.0,2014-10-30,5884,4,high_level
3625049014,2950000.0,2014-08-29,23885,4,high_level
2524049166,2950000.0,2014-09-18,47480,5,high_level
6613000930,2950000.0,2014-09-02,25470,4,high_level
1176001310,2945000.0,2015-03-04,5722,5,high_level
5317100750,2920000.0,2014-07-11,24085,4,high_level
2624049091,2903000.0,2015-03-13,91681,5,high_level
7960900060,2900000.0,2015-05-04,20100,4,high_level
6447300365,2900000.0,2014-11-13,14600,5,high_level
7159200040,2900000.0,2014-09-17,4838,4,high_level
1118000301,2890000.0,2014-12-19,7173,4,high_level
2303900035,2888000.0,2014-06-11,64033,5,high_level
5316101075,2885000.0,2014-09-26,14400,7,high_level
2303900090,2880500.0,2014-07-29,32033,4,high_level
6065300840,2850000.0,2015-05-01,17208,4,high_level
1069000070,2795000.0,2015-04-15,12793,5,high_level
7397300220,2750000.0,2014-05-29,21000,4,high_level
3859900060,2750000.0,2015-01-12,16065,5,high_level
624069035,2750000.0,2014-12-09,5575,4,high_level
5249800010,2725000.0,2014-12-03,43838,4,high_level
2525049086,2720000.0,2014-10-03,18115,4,high_level
8043700300,2700000.0,2014-06-08,7850,4,high_level
625059036,2700000.0,2014-08-13,27295,5,high_level
5442300807,2700000.0,2014-06-24,13800,5,high_level
2524069078,2700000.0,2015-01-22,89651,4,high_level
856000195,2700000.0,2014-05-21,8401,5,high_level
2525049263,2680000.0,2014-07-09,20445,5,high_level
3126059027,2650000.0,2015-03-18,13730,4,high_level
8084900160,2641100.0,2015-02-12,16200,5,high_level
2397101606,2630000.0,2014-12-08,7200,6,high_level
2923500230,2600000.0,2014-12-16,12195,4,high_level
3623500408,2600000.0,2015-03-30,16015,3,high_level
7768700300,2575000.0,2014-12-05,15408,4,high_level
2260300060,2575000.0,2015-04-10,20440,5,high_level
5316100780,2575000.0,2014-09-22,3800,4,high_level
825059178,2574000.0,2014-09-23,20424,4,high_level
6613000935,2555000.0,2014-05-13,26211,4,high_level
1954700410,2546000.0,2014-08-01,8805,4,high_level
1118001408,2544750.0,2014-11-24,13431,5,high_level
9185700485,2538000.0,2015-04-01,6000,4,high_level
9471200370,2537000.0,2015-03-30,20000,4,high_level
7490000040,2535000.0,2014-07-18,10626,5,high_level
9471200200,2532000.0,2015-03-25,16048,4,high_level
3377900195,2525000.0,2014-09-29,45100,4,high_level
7631800015,2510000.0,2015-04-07,57990,3,high_level
5700003585,2500000.0,2014-12-29,12672,5,high_level
3025300095,2500000.0,2014-10-09,19844,4,high_level
9471200265,2500000.0,2015-05-05,16224,4,high_level
6072800170,2500000.0,2015-04-28,24354,4,high_level
4107100190,2500000.0,2015-03-24,14850,4,high_level
1324049015,2485000.0,2014-11-11,23954,4,high_level
4139420190,2480000.0,2015-05-12,16909,4,high_level
9831200500,2479000.0,2015-03-04,7500,5,high_level
1176001293,2475000.0,2014-06-17,4947,3,high_level
1118002000,2466350.0,2014-06-24,13180,5,high_level
3262300555,2458000.0,2014-07-08,14986,4,high_level
1118000110,2453500.0,2014-05-29,13586,4,high_level
2210500010,2450000.0,2014-09-30,23115,7,high_level
3623500205,2450000.0,2014-05-13,11023,4,high_level
5700004028,2450000.0,2015-04-17,6552,4,high_level
4389201250,2450000.0,2014-05-13,9000,5,high_level
2426039123,2415000.0,2015-01-30,24250,5,high_level
853200040,2408000.0,2015-04-28,23250,5,high_level
251620090,2400000.0,2014-05-30,20734,4,high_level
6169900790,2400000.0,2014-06-20,10800,6,high_level
9185700440,2400000.0,2014-07-28,7200,4,high_level
4045100075,2400000.0,2015-03-25,15188,4,high_level
2025069065,2400000.0,2014-09-29,8354,4,high_level
724069059,2400000.0,2014-05-09,11665,3,high_level
3880900010,2400000.0,2014-06-04,9088,5,high_level
3398800055,2400000.0,2014-11-19,24825,4,high_level
6072800265,2395000.0,2014-08-13,19798,4,high_level
1725059316,2385000.0,2014-11-20,13296,4,high_level
1860600135,2384000.0,2014-05-02,9050,5,high_level
6072800205,2375000.0,2014-11-19,20251,4,high_level
2579500110,2367000.0,2014-07-01,17450,3,high_level
2154970020,2351960.0,2014-07-03,19412,4,high_level
1725059127,2350000.0,2015-02-25,11547,6,high_level
625059051,2350000.0,2014-09-03,22863,4,high_level
4139900180,2340000.0,2015-04-20,35200,4,high_level
1652500010,2328000.0,2015-03-26,20759,4,high_level
4139300135,2321000.0,2014-07-09,17004,5,high_level
8085400376,2320000.0,2015-04-21,9520,4,high_level
1118001201,2300000.0,2015-01-30,8402,4,high_level
3426049284,2300000.0,2014-08-19,15929,4,high_level
5536100005,2300000.0,2014-08-08,8816,7,high_level
3880900170,2300000.0,2014-08-05,7100,4,high_level
1732801150,2300000.0,2014-07-01,9778,4,high_level
4389200765,2300000.0,2014-06-25,8570,4,high_level
8043700105,2300000.0,2015-04-17,8175,4,high_level
5452301785,2298000.0,2015-02-18,13860,4,high_level
251620110,2288000.0,2014-07-02,18362,4,high_level
1225069038,2280000.0,2014-05-05,307752,7,high_level
3625049088,2271150.0,2014-07-02,18916,4,high_level
8964800445,2260000.0,2015-02-09,14872,3,high_level
3262300485,2250000.0,2015-04-21,8118,5,high_level
5700003985,2250000.0,2014-10-29,8125,4,high_level
5316100980,2250000.0,2015-03-26,7200,3,high_level
9831200159,2250000.0,2014-08-06,3452,3,high_level
1954700695,2250000.0,2014-06-12,9453,5,high_level
4386700135,2250000.0,2014-11-14,8036,4,high_level
7855801670,2250000.0,2015-04-01,19850,4,high_level
1118001215,2250000.0,2015-02-04,8700,3,high_level
5316100920,2250000.0,2014-07-25,7800,3,high_level
2524069097,2238890.0,2014-05-09,130017,5,high_level
518500460,2230000.0,2014-10-08,5634,3,high_level
7936500109,2230000.0,2014-07-25,28064,3,high_level
856000635,2225000.0,2015-03-23,10800,4,high_level
1333300145,2225000.0,2015-03-04,30120,3,high_level
868001435,2225000.0,2015-01-27,16740,3,high_level
1973700030,2205000.0,2015-04-29,10177,3,high_level
1925069082,2200000.0,2015-05-11,22703,5,high_level
2024069008,2200000.0,2014-06-19,10450,5,high_level
3629940160,2200000.0,2015-03-11,17168,5,high_level
1118001295,2200000.0,2014-12-03,11098,4,high_level
824059305,2200000.0,2015-01-08,11652,5,high_level
9185700285,2200000.0,2014-12-23,7200,4,high_level
2425049061,2200000.0,2014-08-25,30456,3,high_level
4045100190,2196000.0,2014-10-27,18000,4,high_level
7935000280,2195000.0,2014-08-12,35765,5,high_level
1954700610,2193000.0,2014-12-09,7108,3,high_level
2525049259,2187730.0,2014-08-12,13162,4,high_level
4218400455,2180000.0,2014-07-08,11000,6,high_level
6377200010,2175000.0,2014-12-08,21701,4,high_level
5553300375,2160000.0,2014-08-20,6495,3,high_level
1370800225,2152500.0,2015-03-18,6214,4,high_level
685000115,2150000.0,2014-10-07,9415,8,high_level
3761700053,2150000.0,2015-01-05,9610,3,high_level
5710000005,2150000.0,2014-05-22,10320,4,high_level
1959701800,2147500.0,2014-07-02,5500,3,high_level
125069038,2140000.0,2014-11-25,453895,4,high_level
1338800425,2140000.0,2015-03-04,7128,6,high_level
4107100204,2135000.0,2014-08-21,17820,4,high_level
3760500336,2125000.0,2014-11-26,19513,4,high_level
622049114,2125000.0,2015-02-18,24069,3,high_level
6065300330,2110000.0,2014-06-20,17833,3,high_level
3025300226,2100000.0,2014-05-15,19865,4,high_level
5700003640,2095000.0,2014-05-19,10655,5,high_level
3861470110,2075000.0,2014-06-23,20377,4,high_level
9533100285,2065000.0,2014-06-30,7965,4,high_level
7352200450,2050000.0,2015-01-15,19989,4,high_level
7424700045,2050000.0,2015-05-13,8480,5,high_level
3505100756,2050000.0,2014-11-06,18834,4,high_level
1338300170,2048000.0,2015-03-24,8208,5,high_level
46100504,2027000.0,2014-06-17,22798,4,high_level
3585901085,2005000.0,2014-06-04,28176,6,high_level
2524049318,2000000.0,2014-05-28,18000,4,high_level
2524049179,2000000.0,2014-08-26,44867,3,high_level
1732800310,2000000.0,2015-03-02,4500,4,high_level
2726049034,2000000.0,2014-11-10,16387,3,high_level
4131900042,2000000.0,2014-05-16,10862,5,high_level
1724069059,2000000.0,2014-05-24,4443,5,high_level
3225069241,2000000.0,2015-04-22,21064,3,high_level
2424059174,1999950.0,2015-05-08,35006,4,high_level
1068000150,1999000.0,2015-05-01,7500,4,high_level
2624089007,1998000.0,2015-03-20,920423,2,high_level
1346300035,1990000.0,2014-06-26,5000,5,high_level
632000065,1989000.0,2014-06-11,13500,3,high_level
2311400056,1987500.0,2014-12-01,8960,5,high_level
2025059026,1980000.0,2015-02-25,44384,4,high_level
1651500040,1980000.0,2014-08-01,12081,4,high_level
5017000470,1975000.0,2014-07-10,9097,6,high_level
1338600225,1970000.0,2014-05-28,6480,8,high_level
824059321,1965220.0,2014-06-02,8510,4,high_level
8964800025,1965000.0,2015-02-26,13738,5,high_level
2806300065,1960000.0,2015-04-22,31353,4,high_level
1923000260,1959000.0,2014-10-15,23373,5,high_level
4055701200,1955000.0,2015-04-21,7898,4,high_level
3124059023,1955000.0,2015-02-13,12566,3,high_level
2525049113,1950000.0,2014-07-25,18713,4,high_level
8835800350,1950000.0,2015-01-12,167869,4,high_level
1568100920,1950000.0,2015-04-08,14554,4,high_level
5486800070,1950000.0,2014-06-20,15235,7,high_level
3760500280,1950000.0,2014-10-14,12779,3,high_level
2425049107,1950000.0,2015-03-05,17424,4,high_level
5493110020,1950000.0,2015-01-16,18745,4,high_level
4389201241,1945000.0,2014-12-30,6900,4,high_level
9809000020,1940000.0,2015-03-13,16672,5,high_level
2626069030,1940000.0,2015-02-09,223462,4,high_level
3860900035,1940000.0,2015-04-15,16526,5,high_level
8081500060,1928000.0,2014-10-01,20296,4,high_level
5700003630,1925000.0,2014-06-30,8050,5,high_level
1370802115,1925000.0,2014-12-05,6134,3,high_level
1118000080,1925000.0,2015-03-31,16101,4,high_level
1630700380,1920000.0,2015-01-30,230868,5,high_level
2425049066,1920000.0,2014-06-16,34412,4,high_level
1118001560,1910000.0,2014-07-10,6833,4,high_level
2540700110,1905000.0,2015-02-12,18564,4,high_level
9808700405,1901000.0,2014-06-04,13367,3,high_level
3024059014,1900000.0,2015-03-25,11489,4,high_level
1525059261,1900000.0,2015-05-05,44315,5,high_level
3835500585,1900000.0,2014-10-16,12668,4,high_level
357000135,1900000.0,2015-02-18,7830,4,high_level
4389201075,1900000.0,2014-07-31,13351,4,high_level
4114601580,1900000.0,2014-07-24,13237,6,high_level
7767000060,1900000.0,2014-09-12,16471,5,high_level
1330300300,1900000.0,2015-04-15,8550,3,high_level
3303850330,1900000.0,2014-12-16,27755,4,high_level
1727001300,1900000.0,2014-06-09,112521,4,high_level
1827200265,1899000.0,2014-09-11,32044,2,high_level
2025069140,1898000.0,2015-03-17,4334,3,high_level
8085400401,1898000.0,2015-01-15,9656,4,high_level
9809000020,1895000.0,2014-05-13,16672,5,high_level
249000180,1890000.0,2014-12-01,9345,4,high_level
824059042,1886700.0,2014-05-30,17935,5,high_level
715010530,1881580.0,2015-01-13,13000,5,high_level
2470200020,1880000.0,2014-05-14,19542,4,high_level
6447300225,1880000.0,2014-11-06,17919,3,high_level
8923600020,1880000.0,2014-08-06,6220,5,high_level
3391500050,1875000.0,2014-07-03,10929,4,high_level
6321000045,1875000.0,2014-12-22,7920,5,high_level
3885803044,1875000.0,2014-09-02,7440,4,high_level
1025039086,1875000.0,2014-09-16,29111,3,high_level
3625700010,1870000.0,2014-05-06,15175,5,high_level
3262300818,1865000.0,2015-02-27,8797,4,high_level
7787400105,1865000.0,2015-03-06,43560,4,high_level
4218400100,1865000.0,2014-09-11,6952,6,high_level
1524079188,1862000.0,2014-07-29,320917,4,high_level
9471200065,1855000.0,2014-10-15,9600,5,high_level
4134300175,1851000.0,2015-04-17,14866,4,high_level
6744701310,1850000.0,2015-04-15,11972,4,high_level
5026900235,1850000.0,2014-09-11,1880,4,high_level
3592500800,1850000.0,2014-10-18,6060,5,high_level
9201300050,1850000.0,2014-08-14,8442,5,high_level
809001520,1850000.0,2014-11-05,6000,4,high_level
1266200140,1850000.0,2015-05-06,10335,4,high_level
4457300005,1839900.0,2015-03-25,11007,4,high_level
6752500090,1835000.0,2015-01-27,39190,4,high_level
2124069115,1830000.0,2014-10-21,215186,4,high_level
5493110080,1825000.0,2014-08-15,39317,3,high_level
1051000040,1824100.0,2015-04-24,20053,3,high_level
1524069044,1822500.0,2014-10-09,88714,4,high_level
4054530260,1820000.0,2014-06-27,53330,4,high_level
4094800120,1815000.0,2014-06-19,13000,5,high_level
1725059136,1815000.0,2014-11-21,12873,4,high_level
5035300325,1810000.0,2015-04-14,15626,3,high_level
8081500050,1810000.0,2015-03-02,20441,5,high_level
1118000465,1810000.0,2015-03-12,8295,3,high_level
9286730020,1802750.0,2015-03-31,20005,5,high_level
1337300145,1800000.0,2014-07-21,8325,4,high_level
5425700205,1800000.0,2014-05-20,16953,4,high_level
4030100005,1800000.0,2014-12-09,39094,5,high_level
4385700250,1800000.0,2015-04-07,4000,4,high_level
323079101,1800000.0,2015-01-23,205603,4,high_level
3528000040,1800000.0,2015-03-26,224442,3,high_level
3343302110,1800000.0,2015-03-06,13295,3,high_level
524059063,1800000.0,2014-05-06,10279,5,high_level
5078400160,1800000.0,2014-06-05,15580,5,high_level
1329000090,1799000.0,2014-12-19,39098,4,high_level
9359100500,1795000.0,2014-05-27,13000,4,high_level
9320100090,1795000.0,2014-06-10,17232,5,high_level
5461300150,1795000.0,2014-12-11,20274,5,high_level
3893100462,1789950.0,2015-02-25,8504,5,high_level
4139420640,1785000.0,2014-10-30,14300,4,high_level
7237501190,1780000.0,2014-10-10,13402,4,high_level
644000040,1780000.0,2015-04-29,10912,4,high_level
1370803180,1776000.0,2014-08-08,7800,3,high_level
251500330,1775000.0,2014-10-14,19225,3,high_level
5457300095,1775000.0,2015-01-07,7071,4,high_level
8964800050,1770000.0,2015-03-04,14603,3,high_level
2954400310,1769000.0,2014-09-15,38900,4,high_level
644000115,1765000.0,2014-09-23,10249,4,high_level
2525049266,1762000.0,2014-08-21,16000,3,high_level
4139420370,1760000.0,2014-08-11,21630,4,high_level
1337800805,1755000.0,2014-07-03,4800,3,high_level
3304700130,1755000.0,2015-01-28,67953,4,high_level
8085400586,1750000.0,2014-11-01,8975,4,high_level
715010130,1750000.0,2015-02-02,13928,6,high_level
7533800295,1750000.0,2014-08-19,7749,4,high_level
1336800240,1750000.0,2014-05-08,5760,6,high_level
250000010,1750000.0,2014-09-24,8400,4,high_level
250000090,1750000.0,2014-07-14,7660,4,high_level
715010140,1750000.0,2014-10-02,12739,5,high_level
3025059072,1749000.0,2014-07-25,22710,4,high_level
3885808005,1740000.0,2015-03-05,5500,5,high_level
4219401080,1740000.0,2014-05-20,4545,4,high_level
1118000935,1738000.0,2014-07-05,6513,4,high_level
3585901025,1735000.0,2014-06-13,32093,3,high_level
4219400520,1735000.0,2014-06-16,5000,4,high_level
1561600056,1735000.0,2014-10-17,9654,4,high_level
1024049024,1735000.0,2014-12-03,7700,5,high_level
46100350,1730000.0,2014-06-30,26540,5,high_level
4094800260,1730000.0,2014-11-26,20668,4,high_level
6448000100,1728000.0,2014-06-17,20570,4,high_level
4141800285,1727000.0,2014-07-14,8000,4,high_level
1088100450,1720000.0,2014-07-25,35046,5,high_level
1118001805,1715000.0,2014-07-24,7623,4,high_level
1118001835,1715000.0,2014-12-23,7207,4,high_level
3738000070,1712750.0,2015-03-09,6572,5,high_level
3220200040,1712500.0,2014-06-16,5432,3,high_level
4100500070,1710000.0,2014-05-27,14685,5,high_level
5154200015,1705000.0,2015-04-14,27702,3,high_level
